"team","player_name","nfl_team","pos"
"Southern Bluegrass Fantasy Football Championship - Brian Harwood (@TheSBFFC) Cincinnati Reds Live","Tyler Warren","IND","TE"
"Julian Ferreira (@redhotdrummer87) Gotham Knights (Batman)","Christian McCaffrey","SFO","RB"
"Gregory Manley (@gamanley) Harlem Globetrotters (Harlem Globetrotters)","Brock Purdy","SFO","QB"
"Gregory Manley (@gamanley) Harlem Globetrotters (Harlem Globetrotters)","Christian McCaffrey","SFO","RB"
"Chad Hassey (@freak4fantasy) New England Patriots Live","Jonathan Taylor","IND","RB"
"Alex Ashoori Seattle Sounders FC","Christian McCaffrey","SF","RB"
"Rhett Taylor (@RDT_MD) Florida Panthers","Jauan Jennings","SF","WR"
"Rookie Big Board - Matt Hicks (@TheFF_Educator) Arrow McLaren","Jonathan Taylor","IND","RB"
"Rookie Big Board - Matt Hicks (@TheFF_Educator) Arrow McLaren","Tyler Warren","IND","TE"
"Rookie Big Board - Matt Hicks (@TheFF_Educator) Arrow McLaren","George Kittle","SF","TE"
"Nicholas Fox (@CT_FOX) Philadelphia Phillies Live","Jonathan Taylor","IND","RB"
"Kieran O Keeffe (@kie_kong_ok) Power Source","George Kittle","SF","TE"
"Kieran O Keeffe (@kie_kong_ok) Power Source","Brock Purdy","SF","QB"
"Drew Hohman (@drewhohman) Cleveland Browns Live","Jauan Jennings","SF","WR"
"Jay De Lanoy (@desfido) Cincinnati Bengals Live","Brock Purdy","SF","QB"
"Paul Winterhalter (@Pwindynasty) Springfield Isotopes (Simpsons)","George Kittle","SFO","TE"
"Ryan McQueen (@McQ315) Syracuse Orange","Jonathan Taylor","IND","RB"
"RPO Football/FantasyPros/Fantasy Six Pack - Mason Riney (@Caliking49er17) Sacramento Gold Miners Live","Christian McCaffrey","SF","RB"
"Tommy Moening (@dynastyffworld) Chip Ganassi Racing","Christian McCaffrey","SF","RB"
"George Trudell Bowling Green Falcons","Jonathan Taylor","IND","RB"
"David Rose (@drose523) Texas A&M Aggies","George Kittle","SF","TE"
"David Rose (@drose523) Texas A&M Aggies","Brock Purdy","SF","QB"
"Bobby Lawrence (@SuperFlexJunkie) Washington Sentinals (Replacements)","Christian McCaffrey","SFO","RB"
"Bobby Lawrence (@SuperFlexJunkie) Washington Sentinals (Replacements)","Tyler Warren","IND","TE"
"BucJordan (@LetsBuccingGo) UCF Knights","Jonathan Taylor","IND","RB"
"BucJordan (@LetsBuccingGo) UCF Knights","Michael Pittman","IND","WR"
"BucJordan (@LetsBuccingGo) UCF Knights","Brock Purdy","SF","QB"
"Chris De sousa (@DeWildcard21) Wake Forest Demon Deacons","Michael Pittman","IND","WR"
"Kasper Dreyer (@Mika_DynastyFF) Blue Mountain State Goats (Blue Mountain State)","Christian McCaffrey","SFO","RB"
"Rocco Cacciola (@Roccocatch) New York Jets Live","Jauan Jennings","SF","WR"
"Rocco Cacciola (@Roccocatch) New York Jets Live","Brock Purdy","SF","QB"
"Jose Borbolla (@FantasyLoko) Fulham","George Kittle","SF","TE"
"Jose Borbolla (@FantasyLoko) Fulham","Christian McCaffrey","SF","RB"
"Jose Borbolla (@FantasyLoko) Fulham","Brock Purdy","SF","QB"
"Logan Reinig Omaha Mavericks Live","Christian McCaffrey","SF","RB"
"Logan Reinig Omaha Mavericks Live","George Kittle","SF","TE"
"Ben Albert USC Trojans","Jonathan Taylor","IND","RB"
"Ben Albert USC Trojans","Christian McCaffrey","SF","RB"
"Dynasty Theory Fantasy Football Show - John Bauer (@TheBauerClub) Polk High School Panthers (Married with Children)","Philip Rivers","IND","QB"
"Dynasty Theory Fantasy Football Show - John Bauer (@TheBauerClub) Polk High School Panthers (Married with Children)","Jauan Jennings","SFO","WR"
"Optimus Fantasy Football - Jennifer Polvogt (@Jenpolvogt) Colorado Rockies Live","George Kittle","SF","TE"
"Optimus Fantasy Football - Jennifer Polvogt (@Jenpolvogt) Colorado Rockies Live","Brock Purdy","SF","QB"
"Cassidy Hudson Los Angeles Angels","Jonathan Taylor","IND","RB"
"Cassidy Hudson Los Angeles Angels","Michael Pittman","IND","WR"
"Daniel Staesser Inter Miami CF","Christian McCaffrey","SF","RB"
"Ryan Holbrook (@TexasTechsans) Houston Rockets Live","George Kittle","SF","TE"
"Ryan Holbrook (@TexasTechsans) Houston Rockets Live","Tyler Warren","IND","TE"
"Dave Kirk (@HavocNumber9) Vancouver Canadians Live","Christian McCaffrey","SF","RB"
"Dave Kirk (@HavocNumber9) Vancouver Canadians Live","Brock Purdy","SF","QB"
"Declan Cassidy (@deccycas) New Hampshire Fisher Cats","Michael Pittman","IND","WR"
"Michael Tyne (@Michaeltyne13) Sydney Swans Live","Jonathan Taylor","IND","RB"
"Michael Tyne (@Michaeltyne13) Sydney Swans Live","Jauan Jennings","SF","WR"
"Front Office Pros - Joe Sheffield (@@Joe_FOP) Colorado Avalanche","Christian McCaffrey","SF","RB"
"Craig Linder (@Linder_lives) Beverly Hills Wildcats (Beverly Hills 90210)","Christian McCaffrey","SF","RB"
"Pro Football Network - Ben Rolfe (@BenRolfePFN) East Dillon Lions (Friday Night Lights)","Jonathan Taylor","IND","RB"
"Marc Maso (@Markin_NFL) FC Barcelona Live","Jonathan Taylor","IND","RB"
"Jim Cox (@tuljhwk) Kansas Jayhawks","Christian McCaffrey","SF","RB"
"Greg Berthiaume (@GREGGELS17) Notre Dame Fighting Irish","Jauan Jennings","SF","WR"
"Greg Berthiaume (@GREGGELS17) Notre Dame Fighting Irish","Jonathan Taylor","IND","RB"
"David Lane (@surrealdavelane) San Diego Wave FC","George Kittle","SF","TE"
"Tim Barichello Ottawa Redblacks","George Kittle","SF","TE"
"Matthew Smith Miami Hurricanes","Jauan Jennings","SF","WR"
"Corey Bowlby (@CorBow533) Pitt Panthers Live","George Kittle","SF","TE"
"Corey Bowlby (@CorBow533) Pitt Panthers Live","Brock Purdy","SF","QB"
"Kyle Shumway (@Ffpadawan ) Utah Jazz","Christian McCaffrey","SF","RB"
"Kyle Shumway (@Ffpadawan ) Utah Jazz","Jonathan Taylor","IND","RB"
"Roman Spitko Calgary Stampeders","Christian McCaffrey","SF","RB"
"Cody Dewrell (@Codydewrell) Arizona Cardinals","Alec Pierce","IND","WR"
"Cody Dewrell (@Codydewrell) Arizona Cardinals","Tyler Warren","IND","TE"
"Troy Barnes (@Troyb_bbb) Tampa Bay Buccaneers Live","Jonathan Taylor","IND","RB"
"Troy Barnes (@Troyb_bbb) Tampa Bay Buccaneers Live","Jauan Jennings","SF","WR"
"Schuyler Malak (@TheFFBuffalo) Virginia Cavaliers","Michael Pittman","IND","WR"
"Schuyler Malak (@TheFFBuffalo) Virginia Cavaliers","Brock Purdy","SF","QB"
"Fantasy Wildcard, Wildcard DFS - Alastair Cook (@@FFDynastyGrill) Chelsea","Jonathan Taylor","IND","RB"
"Legendary Upside - Patrick Kerrane (@PatKerrane) Tottenham Hotspur","Jauan Jennings","SF","WR"
"Legendary Upside - Patrick Kerrane (@PatKerrane) Tottenham Hotspur","Christian McCaffrey","SF","RB"
"Legendary Upside - Patrick Kerrane (@PatKerrane) Tottenham Hotspur","Brock Purdy","SF","QB"
"FantasyPros expert Ranker/Contributor (Adam Dove), The Fantasy Couriers Podcast (www.thefantasycouri - Adam Dove (@CouriersFantasy) Washington Sentinals (Replacements)","Jonathan Taylor","IND","RB"
"FantasyPros expert Ranker/Contributor (Adam Dove), The Fantasy Couriers Podcast (www.thefantasycouri - Adam Dove (@CouriersFantasy) Washington Sentinals (Replacements)","Michael Pittman","IND","WR"
"FantasyPros expert Ranker/Contributor (Adam Dove), The Fantasy Couriers Podcast (www.thefantasycouri - Adam Dove (@CouriersFantasy) Washington Sentinals (Replacements)","George Kittle","SFO","TE"
"Underdog Fantasy - Stacie Stern (@staciestern) Arizona State Sun Devils","Jonathan Taylor","IND","RB"
"Underdog Fantasy - Stacie Stern (@staciestern) Arizona State Sun Devils","Jauan Jennings","SF","WR"
"Underdog Fantasy - Stacie Stern (@staciestern) Arizona State Sun Devils","Brock Purdy","SF","QB"
"Charles Burkhard Trackhouse Racing","Jonathan Taylor","IND","RB"
"Charles Burkhard Trackhouse Racing","George Kittle","SF","TE"
"Justin Cox (@JustinAllenCox) Winnipeg Jets","Jonathan Taylor","IND","RB"
"Justin Cox (@JustinAllenCox) Winnipeg Jets","Christian McCaffrey","SF","RB"
"Ross Davis (@Rossfights) OKC 89ers Live","Christian McCaffrey","SF","RB"
"Ross Davis (@Rossfights) OKC 89ers Live","Brock Purdy","SF","QB"
"Edward Walsh Trackhouse Racing","Josh Downs","IND","WR"
"Edward Walsh Trackhouse Racing","Philip Rivers","IND","QB"
"Gridiron Granny (@kelly_dickerman) Boston Red Sox Live","Jauan Jennings","SF","WR"
"Gridiron Granny (@kelly_dickerman) Boston Red Sox Live","Christian McCaffrey","SF","RB"
"Fantasy Powers League - Chris Slomba (@heerojay) Atlanta Braves Live","Brock Purdy","SF","QB"
"Matthew Marlow Phoenix Suns","Alec Pierce","IND","WR"
"Randy Rutherford (@raaaaaaaaandy) Vancouver Canucks Live","Josh Downs","IND","WR"
"gamebreakersports.com - Tim King (@thetimkingshow ) Chicago Bulls Live","Michael Pittman","IND","WR"
"Footballguys - Colton Dodgson (@FFCDod) Phoenix Rising Live","Brock Purdy","SF","QB"
"FTN - Jeff Hicks (@otherjeffhicks) Hawaii Rainbow Warriors","Brock Purdy","SF","QB"
"Travis McAlister (@Queenctymtneer ) Mount St. Marys Mountaineers","Christian McCaffrey","SF","RB"
"Travis McAlister (@Queenctymtneer ) Mount St. Marys Mountaineers","Jonathan Taylor","IND","RB"
"Craig Ziak (@CraigZ2020) App State Mountaineers","Christian McCaffrey","SF","RB"
"Craig Ziak (@CraigZ2020) App State Mountaineers","Tyler Warren","IND","TE"
"Craig Ziak (@CraigZ2020) App State Mountaineers","Brock Purdy","SF","QB"
"Dynasty Nerds - Matthew Mitchell (@ReflipeWThenuz) Polk High School Panthers (Married with Children)","Jonathan Taylor","IND","RB"
"Dynasty Nerds - Matthew Mitchell (@ReflipeWThenuz) Polk High School Panthers (Married with Children)","Michael Pittman","IND","WR"
"Dynasty Nerds - Matthew Mitchell (@ReflipeWThenuz) Polk High School Panthers (Married with Children)","George Kittle","SFO","TE"
"Caroline Grady (@RoxyShepherd) Alpine Racing","Tyler Warren","IND","TE"
"Matt Potts (@Jmattyp) Washington Valor Live","Christian McCaffrey","SF","RB"
"Matt Potts (@Jmattyp) Washington Valor Live","Brock Purdy","SF","QB"
"Jon Leonard TCU Horned Frogs","Jonathan Taylor","IND","RB"
"Casey Liebler (@_case88) Racine Belles (A League of Their Own)","Brock Purdy","SFO","QB"
"Casey Liebler (@_case88) Racine Belles (A League of Their Own)","Christian McCaffrey","SFO","RB"
"Casey Liebler (@_case88) Racine Belles (A League of Their Own)","Michael Pittman","IND","WR"
"Sportsethos - Anthony Quaranta (@Aqfresh) Charlotte FC","Jonathan Taylor","IND","RB"
"FFFACEOFF - Brandon Braasch (@Brandonbraasch3) Team Penske","Jonathan Taylor","IND","RB"
"DynastyRankings.com - Nate Liss (@Anoutragedjew) A.J. Foyt Enterprises","Michael Pittman","IND","WR"
"DynastyRankings.com - Nate Liss (@Anoutragedjew) A.J. Foyt Enterprises","Jonathan Taylor","IND","RB"
"DynastyRankings.com - Nate Liss (@Anoutragedjew) A.J. Foyt Enterprises","Brock Purdy","SF","QB"
"Cole Jeffries (@colej313) TCU Horned Frogs","Christian McCaffrey","SF","RB"
"Chelsie Hall (@Chelsiehall) Vanderbilt Commodores","Jauan Jennings","SF","WR"
"Nate Rango (@Rango_) Arrow McLaren","Christian McCaffrey","SF","RB"
"Nate Rango (@Rango_) Arrow McLaren","Brock Purdy","SF","QB"
"Salvatore Leto (@sleto22) New York Yankees Live","Brock Purdy","SF","QB"
"Ernest Barton (@Bubbapuck) Annapolis Blues FC","Jonathan Taylor","IND","RB"
"Ernest Barton (@Bubbapuck) Annapolis Blues FC","Christian McCaffrey","SF","RB"
"Justin Hals (@jjhals) Sacramento Kings","Christian McCaffrey","SF","RB"
"PFF - Tim Sones (@TimothySones) New York Giants Live","Jonathan Taylor","IND","RB"
"PFF - Tim Sones (@TimothySones) New York Giants Live","Michael Pittman","IND","WR"
"Stephen Doctor Buffalo Bills Live","George Kittle","SF","TE"
"Stephen Doctor Buffalo Bills Live","Tyler Warren","IND","TE"
"Nate Soulis (@natesoulis) Kansas City Current","Brock Purdy","SF","QB"
"Operation Domination - Chase Thornton (@SttChaseFFB) Memphis Showboats","Jonathan Taylor","IND","RB"
"Operation Domination - Chase Thornton (@SttChaseFFB) Memphis Showboats","Michael Pittman","IND","WR"
"The Undroppables - Tommy Molioo (@2on1tommy) Los Angeles FC","Alec Pierce","IND","WR"
"Kris McAndrews (@Coachmcandrews ) Buffalo Bandits Live","Jonathan Taylor","IND","RB"
"David Eschmann (@XChainBangerx) Manchester Utd","Christian McCaffrey","SF","RB"
"Corey Hirt (@CoreyHirt827) New York Giants Live","Christian McCaffrey","SF","RB"
"Kenny Smith (@hashtagkenny) Houston Dash","Christian McCaffrey","SF","RB"
"Chalkpoints - Bobby Duke (@TheBobbyDuke) Charlotte Checkers Live","Brock Purdy","SF","QB"
"PlayerProfiler - Billy Muzio (@FFMuzio) Oregon Ducks","Jauan Jennings","SF","WR"
"PlayerProfiler - Billy Muzio (@FFMuzio) Oregon Ducks","Jonathan Taylor","IND","RB"
"NBC Sports - Damian Dabrowski (@D_bro1389) Calgary Flames","George Kittle","SF","TE"
"Emiel Rahim (@Captaineggboy) Crystal Palace","Jauan Jennings","SF","WR"
"Emiel Rahim (@Captaineggboy) Crystal Palace","Christian McCaffrey","SF","RB"
"Emiel Rahim (@Captaineggboy) Crystal Palace","Jonathan Taylor","IND","RB"
"Fusion FFB - Beryl Joffre (@FF_MedCabinet) Gotham Rogues (Batman)","Brock Purdy","SFO","QB"
"Fusion FFB - Beryl Joffre (@FF_MedCabinet) Gotham Rogues (Batman)","George Kittle","SFO","TE"
"BrasilFantasyFootball / The Playoffs - André Amaral (@@andreamaral633) International Superstar Soccer Live","Jonathan Taylor","IND","RB"
"BrasilFantasyFootball / The Playoffs - André Amaral (@@andreamaral633) International Superstar Soccer Live","Brock Purdy","SF","QB"
"numberFire - Brandon Gdula (@gdula13) Washington Mystics","Christian McCaffrey","SF","RB"
"numberFire - Brandon Gdula (@gdula13) Washington Mystics","Brock Purdy","SF","QB"
"Cody King (@Operativekirtar) Cleveland Browns Live","Jonathan Taylor","IND","RB"
"Cody King (@Operativekirtar) Cleveland Browns Live","Brock Purdy","SF","QB"
"Bret Kain (@Bret_kain) Seattle SuperSonics Live","Jonathan Taylor","IND","RB"
"Bret Kain (@Bret_kain) Seattle SuperSonics Live","Christian McCaffrey","SF","RB"
"Melissa Waybright (@@RorschachWay) Bournemouth","George Kittle","SF","TE"
"Club Fantasy FFL - Austin Amandolia (@Austin_FFL) Carolina Hurricanes","Michael Pittman","IND","WR"
"Club Fantasy FFL - Austin Amandolia (@Austin_FFL) Carolina Hurricanes","Jauan Jennings","SF","WR"
"Club Fantasy FFL - Austin Amandolia (@Austin_FFL) Carolina Hurricanes","Jonathan Taylor","IND","RB"
"Club Fantasy FFL - Austin Amandolia (@Austin_FFL) Carolina Hurricanes","Brock Purdy","SF","QB"
"Fantasymojo.com - Darren Armani (@Fantasymojo ) Penn State Nittany Lions","Jonathan Taylor","IND","RB"
"Fantasymojo.com - Darren Armani (@Fantasymojo ) Penn State Nittany Lions","Brock Purdy","SF","QB"
"Underdog Fantasy - Mike Vanderheyden Bournemouth","George Kittle","SF","TE"
"IDP+ (Offensive Points Podcast) - Josh Hall (@JosHallSTL) Kansas City Monarchs Live","George Kittle","SF","TE"
"IDP+ (Offensive Points Podcast) - Josh Hall (@JosHallSTL) Kansas City Monarchs Live","Brock Purdy","SF","QB"
"Pedro Puente Sultanes de Monterrey Live","Jonathan Taylor","IND","RB"
"Pedro Puente Sultanes de Monterrey Live","George Kittle","SF","TE"
"David Davis (@Criimedogdavis ) CF Montreal","Tyler Warren","IND","TE"
"David Davis (@Criimedogdavis ) CF Montreal","Brock Purdy","SF","QB"
"SFBPodathon - Sal Leto (@SalLetoFF) New Jersey Devils","Jonathan Taylor","IND","RB"
"CBS - Adam Aizer (@AdamAizer) Miami Hurricanes","Christian McCaffrey","SF","RB"
"CBS - Adam Aizer (@AdamAizer) Miami Hurricanes","Brock Purdy","SF","QB"
"Andrew Rosien (@Floorkillah) Aston Martin","Christian McCaffrey","SF","RB"
"Andrew Rosien (@Floorkillah) Aston Martin","George Kittle","SF","TE"
"Joel Fleischman (@JoelmFleischman) New Hampshire Fisher Cats","Christian McCaffrey","SFO","RB"
"Joel Fleischman (@JoelmFleischman) New Hampshire Fisher Cats","Jonathan Taylor","IND","RB"
"Jarod Lenkiewicz Alpine Racing","Jonathan Taylor","IND","RB"
"Jarod Lenkiewicz Alpine Racing","Michael Pittman","IND","WR"
"Jarod Lenkiewicz Alpine Racing","Christian McCaffrey","SF","RB"
"Anthony North (@north_anthony) Dallas Stars Live","Christian McCaffrey","SF","RB"
"Anthony North (@north_anthony) Dallas Stars Live","Brock Purdy","SF","QB"
"Underdog - Minh Pham Richard Childress Racing","Brock Purdy","SFO","QB"
"Underdog - Minh Pham Richard Childress Racing","Christian McCaffrey","SFO","RB"
"Underdog - Minh Pham Richard Childress Racing","George Kittle","SFO","TE"
"Stephan Pearce (@PearceRules) Colorado Rockies","Jonathan Taylor","IND","RB"
"Stephan Pearce (@PearceRules) Colorado Rockies","Alec Pierce","IND","WR"
